"Charlotte Douglas International Airport","Charlotte","CLT","Salt Lake City International Airport","Salt Lake City","SLC","2773596.1963592013"
"Charlotte Douglas International Airport","Charlotte","CLT","Tampa International Airport","Tampa","TPA","818813.9034805216"
"Ronald Reagan Washington National Airport","Washington","DCA","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","880093.9473806327"
"Ronald Reagan Washington National Airport","Washington","DCA","General Edward Lawrence Logan International Airport","Boston","BOS","641473.0307482175"
"Ronald Reagan Washington National Airport","Washington","DCA","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","48072.32366612873"
"Ronald Reagan Washington National Airport","Washington","DCA","Charlotte Douglas International Airport","Charlotte","CLT","532637.2236022925"
"Ronald Reagan Washington National Airport","Washington","DCA","Denver International Airport","Denver","DEN","2369196.7838806575"
"Ronald Reagan Washington National Airport","Washington","DCA","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","1914941.9643696672"
"Ronald Reagan Washington National Airport","Washington","DCA","Detroit Metropolitan Wayne County Airport","Detroit","DTW","651250.218689549"
"Ronald Reagan Washington National Airport","Washington","DCA","Newark Liberty International Airport","Newark","EWR","319340.3736607035"
"Ronald Reagan Washington National Airport","Washington","DCA","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","1450483.8886869089"
"Ronald Reagan Washington National Airport","Washington","DCA","Washington Dulles International Airport","Washington","IAD","37613.992975558736"
"Ronald Reagan Washington National Airport","Washington","DCA","George Bush Intercontinental Houston Airport","Houston","IAH","1941631.0009077098"
"Ronald Reagan Washington National Airport","Washington","DCA","John F Kennedy International Airport","New York","JFK","342218.1683716866"
"Ronald Reagan Washington National Airport","Washington","DCA","McCarran International Airport","Las Vegas","LAS","3353577.035854824"
"Ronald Reagan Washington National Airport","Washington","DCA","Los Angeles International Airport","Los Angeles","LAX","3710898.7244607746"
"Ronald Reagan Washington National Airport","Washington","DCA","La Guardia Airport","New York","LGA","344781.1991862857"
"Ronald Reagan Washington National Airport","Washington","DCA","Orlando International Airport","Orlando","MCO","1224126.9403551111"
"Ronald Reagan Washington National Airport","Washington","DCA","Chicago Midway International Airport","Chicago","MDW","964389.283668205"
"Ronald Reagan Washington National Airport","Washington","DCA","Miami International Airport","Miami","MIA","1483602.0295148396"
"Ronald Reagan Washington National Airport","Washington","DCA","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1494846.2562964451"
"Ronald Reagan Washington National Airport","Washington","DCA","Chicago O'Hare International Airport","Chicago","ORD","982619.2282394422"
"Ronald Reagan Washington National Airport","Washington","DCA","Philadelphia International Airport","Philadelphia","PHL","191605.00786236816"
"Ronald Reagan Washington National Airport","Washington","DCA","Phoenix Sky Harbor International Airport","Phoenix","PHX","3177719.013968215"
"Ronald Reagan Washington National Airport","Washington","DCA","San Diego International Airport","San Diego","SAN","3654798.0947235194"
"Ronald Reagan Washington National Airport","Washington","DCA","Seattle Tacoma International Airport","Seattle","SEA","3738142.80264419"
"Ronald Reagan Washington National Airport","Washington","DCA","San Francisco International Airport","San Francisco","SFO","3920948.8972364184"
"Ronald Reagan Washington National Airport","Washington","DCA","Salt Lake City International Airport","Salt Lake City","SLC","2972067.782589867"
"Ronald Reagan Washington National Airport","Washington","DCA","Tampa International Airport","Tampa","TPA","1311872.935131933"
"Denver International Airport","Denver","DEN","Hartsfield Jackson Atlanta International Airport","Atlanta","ATL","1926622.9160024496"
"Denver International Airport","Denver","DEN","General Edward Lawrence Logan International Airport","Boston","BOS","2815736.531260583"
"Denver International Airport","Denver","DEN","Baltimore/Washington International Thurgood Marshall Airport","Baltimore","BWI","2393552.115294363"
"Denver International Airport","Denver","DEN","Charlotte Douglas International Airport","Charlotte","CLT","2148207.1950538484"
"Denver International Airport","Denver","DEN","Ronald Reagan Washington National Airport","Washington","DCA","2369196.7838806575"
"Denver International Airport","Denver","DEN","Dallas Fort Worth International Airport","Dallas-Fort Worth","DFW","1032109.2790481979"
"Denver International Airport","Denver","DEN","Detroit Metropolitan Wayne County Airport","Detroit","DTW","1802303.1160450943"
"Denver International Airport","Denver","DEN","Newark Liberty International Airport","Newark","EWR","2576412.1223063893"
"Denver International Airport","Denver","DEN","Fort Lauderdale Hollywood International Airport","Fort Lauderdale","FLL","2739038.356680974"
"Denver International Airport","Denver","DEN","Washington Dulles International Airport","Washington","IAD","2331699.341808019"
"Denver International Airport","Denver","DEN","George Bush Intercontinental Houston Airport","Houston","IAH","1387504.4832041145"
"Denver International Airport","Denver","DEN","John F Kennedy International Airport","New York","JFK","2609787.721153326"
"Denver International Airport","Denver","DEN","McCarran International Airport","Las Vegas","LAS","1009369.8531014178"
"Denver International Airport","Denver","DEN","Los Angeles International Airport","Los Angeles","LAX","1385149.3690722215"
"Denver International Airport","Denver","DEN","La Guardia Airport","New York","LGA","2599815.2763272715"
"Denver International Airport","Denver","DEN","Orlando International Airport","Orlando","MCO","2486351.664979829"
"Denver International Airport","Denver","DEN","Chicago Midway International Airport","Chicago","MDW","1437348.048122619"
"Denver International Airport","Denver","DEN","Miami International Airport","Miami","MIA","2748697.3118896065"
"Denver International Airport","Denver","DEN","Minneapolis-St Paul International/Wold-Chamberlain Airport","Minneapolis","MSP","1092362.125361373"
"Denver International Airport","Denver","DEN","Chicago O'Hare International Airport","Chicago","ORD","1426029.9190828616"
"Denver International Airport","Denver","DEN","Philadelphia International Airport","Philadelphia","PHL","2500396.419328214"
